periode_data,type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
202101,Puskesmas Cilandak,RS Wisma Atlet,1,11
202101,Puskesmas Setiabudi,RS Wisma Atlet,1,14
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,10
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,9
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,10
202101,Puskesmas Pancoran,RS Wisma Atlet,1,7
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,10
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,8
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,5
202101,Puskesmas Cipayung,RS Wisma Atlet,1,14
202101,Puskesmas Pulogadung,RS Wisma Atlet,1,14
202101,Puskesmas Tebet,RS Wisma Atlet,1,22
202101,Puskesmas Ciracas,RS Wisma Atlet,1,13
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,7
202101,Puskesmas Pancoran,RS Wisma Atlet,1,7
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
202101,Puskesmas Pasar Rebo,RS Wisma Atlet,1,9
202101,Puskesmas Ciracas,RS Wisma Atlet,1,10
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,9
202101,Puskesmas Makasar,RS Wisma Atlet,1,11
202101,Puskesmas Pancoran Tahap II,RS Wisma Atlet,1,9
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,5
202101,Puskesmas Cipayung,RS Wisma Atlet,1,9
202101,Puskesmas Tebet,RS Wisma Atlet,1,24
202101,Puskesmas Ciracas tahap I,RS Wisma Atlet,1,31
202101,Puskesmas Cipayung,RS Wisma Atlet,1,13
202101,Puskesmas Cilincing,RS Wisma Atlet,1,10
202101,Puskesmas Palmerah,RS Wisma Atlet,1,12
202101,Puskesmas Papanggo,RS Wisma Atlet,1,13
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,14
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,10
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,8
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,9
202101,Puskesmas Cipayung,RS Wisma Atlet,1,6
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,5
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,8
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,16
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,7
202101,Puskesmas Pasar Rebo,RS Wisma Atlet,1,9
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Cilincing,RS Wisma Atlet,1,10
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Jagakarsa Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,5
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap III,RS Wisma Atlet,1,6
202101,Puskesmas Pulogadung,RS Wisma Atlet,1,8
202101,Puskesmas Pesanggrahan,RS Wisma Atlet,1,16
202101,Puskesmas Ciracas,RS Wisma Atlet,1,23
202101,Puskesmas Makasar,RS Wisma Atlet,1,20
202101,Puskesmas Tebet ,RS Wisma Atlet,1,35
202101,Puskesmas Pancoran,RS Wisma Atlet,1,18
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,11
202101,Puskesmas Jagakarsa Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Pasar Rebo,RS Wisma Atlet,1,9
202101,Puskesmas Duren Sawit Tahap I,RS Wisma Atlet,1,8
202101,Puskesmas Duren Sawit Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,10
202101,Puskesmas Pancoran,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap III,RS Wisma Atlet,1,7
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,15
202101,Puskesmas Cipayung,RS Wisma Atlet,1,6
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,19
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,12
202101,Puskesmas Cilincing,RS Wisma Atlet,1,8
202101,Puskesmas Jagakarsa Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,7
202101,Puskesmas Cilincing,RS Wisma Atlet,1,11
202101,Puskesmas Ciracas,RS Wisma Atlet,1,14
202101,Puskesmas Makasar,RS Wisma Atlet,1,12
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,13
202101,Puskesmas Jagakarsa tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,14
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,7
202101,Puskesmas Tebet,RS Wisma Atlet,1,19
202101,Puskesmas Pancoran,RS Wisma Atlet,1,20
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,10
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,11
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202101,Puskesmas Ciracas,RS Wisma Atlet,1,18
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,3
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Kemayoran,RS Wisma Atlet,1,8
202101,Puskesmas Pancoran,RS Wisma Atlet,1,13
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,28
202102,Puskesmas Matraman,RS Wisma Atlet,1,7
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
202102,Puskesmas Pulogadung,RS Wisma Atlet,1,9
202102,Puskesmas Mampang Prapatan,RS Wisma Atlet,1,7
202102,Puskesmas Kramat Jati Tahap II,RS Wisma Atlet,1,7
202102,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,18
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,15
202102,Puskesmas Ciracas ,RS Wisma Atlet,1,19
202102,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,11
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,7
202102,Puskesmas Tebet,RS Wisma Atlet,1,18
202102,Puskesmas Cilincing,RS Wisma Atlet,1,12
202102,Puskesmas Pulogadaung,RS Wisma Atlet,1,7
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,31
202102,Puskesmas Pancoran,RS Wisma Atlet,1,24
202102,Puskesmas Tanjung Priok,RS Wisma Atlet,1,22
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,13
202102,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,24
202102,Puskesmas Ciracas,RS Wisma Atlet,1,7
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,30
202102,Puskesmas Senen,RS Wisma Atlet,1,21
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,9
202102,Puskesmas Cilincing,RS Wisma Atlet,1,8
202102,Puskesmas Pancoran,RS Wisma Atlet,1,13
202102,Puskesmas Cempaka Putih,RS Wisma Atlet,1,8
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,16
202102,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,15
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,10
202102,Puskesmas Cilandak,RS Wisma Atlet,1,15
202102,Puskesmas Jatinegara,RS Wisma Atlet,1,9
202102,Puskesmas Makasar,RS Wisma Atlet,1,19
202102,Puskesmas Ciracas,RS Wisma Atlet,1,12
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,25
202102,Puskesmas Pancoran ,RS Wisma Atlet,1,15
202102,Puskesmas Tanah Abang,RS Wisma Atlet,1,19
202102,Puskesmas Kemayoran Tahap I,RS Wisma Atlet,1,7
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,15
202102,Cempaka Putih,RS Wisma Atlet,1,8
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202102,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,25
202102,Puskesmas Makasar,RS Wisma Atlet,1,36
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,35
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,13
202102,Puskesmas Tebet,RS Wisma Atlet,1,10
202102,Puskesmas Ciracas,RS Wisma Atlet,1,28
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,18
202102,Puskesmas Cilandak,RS Wisma Atlet,1,7
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,7
